,Created_at,Username,Tweet
65,2022-09-20 17:29:34+00:00,JoyoRalph,"I love the art style in ""Tender Loving CEO"" so much! It's gorgeous! The character designs are amazing, too! Highly recommend!
 
#artshare #PaperGirls #mangareader

https://t.co/CITMaLc3Zq https://t.co/Ki8SlIqziH"
66,2022-09-20 17:29:34+00:00,CorxandForx,RT @ExtinctionR: '@exxonmobil announced a $17.85bn profit for 2nd quarter 2022 (nearly 4x [what] it made a year ago); both @Chevron &amp; @Shel…
67,2022-09-20 17:29:34+00:00,KB_Bulletin,"Rumour floated by one non-Kashmir based politician about closure of Jamia Masjid Sgr is baseless, it is clarified that Jamia is fully open; Srinagar Police

https://t.co/vVvJ5JoHXd @SrinagarPolice"
68,2022-09-20 17:29:34+00:00,TeamPoliceUK,"Fourth police sporting story! 🚓

In our latest police sporting story Claire Thorn talks about life after policing: 'Is there life after the police – oh yes there is!’

Read more: https://t.co/RIbEVEHiOP

#policesport #psuk #teampolice #policewellbeing #rolemodels #policing https://t.co/MhJfGCURkE"
69,2022-09-20 17:29:34+00:00,_hongseok_94,"RT @WEi__Official: Dallas, R U READY⁉

#위아이 #WEi #루아이 #RUi 
#2022_WEi_WORLD_TOUR
#FIRST_LOVE #DALLAS
#위아이_가보자고 https://t.co/CJhb7DnUli"
70,2022-09-20 17:29:34+00:00,aamewkasep,"RT @MPearls97: ✨ I G  F O L L O W E R S ✨
     💗 MEW SUPPASIT 💗
      -  18-20 / 09 / 2022  - 
 [ 4,826,668 ▶️ 4,837,993 ]

              +…"
71,2022-09-20 17:29:34+00:00,ChemistRenegade,RT @nytimes: Breaking News: The Justice Department has charged 44 people with stealing $240 million from pandemic aid programs intended to…
72,2022-09-20 17:29:34+00:00,dakotabarnbaby,RT @realTuckFrumper: POTUS DELIVERS: Biden signs law eliminating statute of limitations for survivors of child sexual abuse https://t.co/id…
73,2022-09-20 17:29:34+00:00,MarkKirbyLeeds,"RT @_HenryBolton: How many times have these two total hypocrites gone on witch hunts, attacked other people’s morals and said politicians a…"
74,2022-09-20 17:29:34+00:00,thvrve,"RT @sugadboy: — 🚨 ARMY, PASEN A VOTAR POR BTS EN IDOL PLUS POPULARITY AWARD, BTS CONTINÚA EN #2 LUGAR 

(https://t.co/DnX94fzmqt)

BTS WILL…"
75,2022-09-20 17:29:34+00:00,amorfodaz,RT @AccessBadBunny: Bad Bunny &amp; Bomba Estéreo’s “Ojitos Lindos” has been nominated for “Record Of The Year” at the 2022 Latin Grammy. #Lati…
76,2022-09-20 17:29:34+00:00,MarkOndari,"RT @TheNewmanLab: Tertiary alcohols participate in deoxygenative Suzuki-Miyaura coupling co-catalyzed by Ni and Bi. Now online @ChemRxiv.
h…"
77,2022-09-20 17:29:34+00:00,Patma26836434,RT @dramapotatoe: #CoupleofMirrors’ #ZhangNan and #SunYihan reunite at the 2022 Li-Ning Airport Show https://t.co/ExxGOs11aL
78,2022-09-20 17:29:34+00:00,NSilencedChild,"RT @JumaraloHexCore: Spirit Blossom 2022 SplashArts Posted by Lol Philipines Facebook

- Sett
- Aphelios
- Syndra
- Evelynn https://t.co/6D…"
79,2022-09-20 17:29:34+00:00,KeizeKeren,"@jmtokyos @BTS_twt Jimin

Listen to #jhope_MORE the song of 2022 from the album #JackInTheBox by #JHOPE of (@BTS_twt"
80,2022-09-20 17:29:34+00:00,Amarjit14806830,"RT @TechnicalGuruji: Crazy Smartphone Deals - Flipkart Big Billion Days 2022 - iPhone 13 Giveaway🔥🔥🔥
https://t.co/6pJfuIzsRy via @YouTubeIn…"
